probe_set_id	vendor	kit_name	version	assay_type	genome_build	target_file_description	source_url	download_url	raw_bed	processed_bed
twist_exome_2_0_2	Twist Bioscience	Twist Exome 2.0	v2.0.2	whole_exome_capture	hg38	covered target regions	https://www.twistbioscience.com/resources/data-files/twist-exome-20-bed-files	https://www.twistbioscience.com/content/dam/twistbioscience/resources/2022-12/hg38_exome_v2.0.2_targets_sorted_validated.re_annotated.bed	data/raw_beds/hg38_exome_v2.0.2_targets_sorted_validated.re_annotated.bed.gz	NA
illumina_exome_2_5_panel	Illumina / Twist Bioscience	Illumina Exome 2.5 Panel	NA	whole_exome_capture	hg38	target regions	https://support.illumina.com/sequencing/sequencing_kits/Illumina-dna-prep-with-exome-v25-enrichment/product-files.html	https://support.illumina.com/content/dam/illumina-support/documents/downloads/productfiles/illumina-prep/exome/hg38_Twist_Bioscience_for_Illumina_Exome_2_5.bed	data/raw_beds/hg38_Twist_Bioscience_for_Illumina_Exome_2_5.bed.gz	NA
